Year,Indonesia,Malaysia
2000,2014000.0,3376664.0
2001,2200000.0,3499012.0
2002,2790000.0,3670243.0
2003,3040000.0,3802040.0
2004,3320000.0,3875327.0
2005,3690000.0,4051374.0
2006,4110000.0,4165215.0
2007,4560000.0,4304913.0
2008,4980000.0,4487957.0
2009,5000000.0,4691160.0
2010,5780000.0,4853766.0
2011,6170000.0,5000109.0
2012,6650000.0,5076929.0
2013,7720000.0,5229739.0
2014,8150000.0,4689321.0
2015,8650000.0,4859397.0
2016,9720000.0,5001438.0
2017,11000000.0,5110713.0
2018,12200000.0,5189344.0
2019,12880000.0,5216822.0
2020,13250000.0,5231743.0
2021,13670000.0,5144180.0
2022,13940000.0,5127290.0
2023,14170000.0,5130172.0
2024,14320000.0,5066524.0
