Year,Indonesia,Malaysia
1970,216827.0,431069.0
1971,249957.0,580389.0
1972,269464.0,718580.0
1973,289677.0,812614.0
1974,347676.0,1045975.0
1975,397253.0,1257573.0
1976,431006.0,1391965.0
1977,457607.0,1612747.0
1978,501284.0,1785525.0
1979,641240.0,2188699.0
1980,721172.0,2573173.0
1981,800060.0,2822144.0
1982,886820.0,3510920.0
1983,982987.0,3016481.0
1984,1147190.0,3714795.0
1985,1243430.0,4134463.0
1986,1350729.0,4542249.0
1987,1506055.0,4531960.0
1988,1713335.0,5027496.0
1989,1964954.0,6056501.0
1990,2412612.0,6094622.0
1991,2657600.0,6141353.0
1992,3266250.0,6373460.0
1993,3421448.0,7402930.0
1994,4008060.0,7220630.0
1995,4479670.0,7810546.0
1996,4898658.0,8385890.0
1997,5385458.0,9068730.0
1998,5902178.0,8319680.0
1999,6011300.0,10553918.0
2000,7000507.0,10842095.0
2001,8396472.0,11804000.0
2002,9622344.0,11909300.0
2003,10440834.0,13354800.0
2004,10830389.0,13976200.0
2005,11861615.0,14961700.0
2006,17350848.0,15880700.0
2007,17664724.0,15823745.0
2008,17539788.0,17734440.0
2009,19324292.0,17564936.0
2010,21958120.0,16993717.0
2011,23096541.0,18911520.0
2012,26015519.0,18785030.0
2013,27782004.0,19216459.0
2014,29278189.0,19667016.0
2015,31070015.0,19961581.0
2016,31730961.0,17319177.0
2017,37965224.0,19919331.0
2018,40567230.0,19516141.0
2019,47120247.0,19858367.0
2020,44759147.0,19140613.0
2021,49710345.0,18116354.0
2022,46819673.0,18453420.0
2023,47084299.0,18551950.0
