Year,Indonesia,Malaysia
1961,13357.1,11546.8
1962,12785.7,12344.3
1963,11933.3,13490.1
1964,11650.0,12230.6
1965,11187.5,13423.7
1966,11223.5,14080.1
1967,10976.5,14382.2
1968,11111.1,14278.5
1969,13333.3,14043.1
1970,13000.0,14376.3
1971,15789.5,15771.7
1972,16000.0,14555.5
1973,17500.0,13905.9
1974,18181.8,15103.1
1975,16197.2,16076.1
1976,17692.3,14316.9
1977,17142.9,14382.0
1978,13888.9,16415.5
1979,16500.0,15963.0
1980,16666.7,16465.4
1981,16521.7,16978.3
1982,17939.1,20143.6
1983,18018.0,15234.3
1984,21194.7,18182.6
1985,18784.1,17818.3
1986,20649.6,16978.1
1987,21013.2,16604.2
1988,20160.5,16526.2
1989,17343.9,18300.4
1990,16569.5,17754.3
1991,15737.5,15042.8
1992,15134.9,15107.0
1993,18577.6,17216.5
1994,19177.0,16086.2
1995,18823.5,16613.6
1996,17145.7,16354.1
1997,16597.8,16477.2
1998,16439.4,14242.5
1999,17745.0,16599.3
2000,18063.6,16762.1
2001,18613.6,16847.6
2002,16774.2,16224.0
2003,17302.6,17562.9
2004,18222.9,18032.3
2005,18970.2,18462.9
2006,19525.5,19062.6
2007,17105.3,18354.4
2008,17068.3,19552.3
2009,18000.0,18269.6
2010,19204.2,17118.9
2011,18962.7,18583.1
2012,19849.6,18695.9
2013,18264.2,18149.6
2014,18159.5,20339.9
2015,18265.9,20237.9
2016,16563.8,17260.1
2017,17545.5,19907.4
2018,16885.2,18965.7
2019,16847.8,18989.6
2020,17132.1,18534.8
2021,18434.5,17766.4
2022,17073.2,18492.1
2023,16937.2,18508.6
2024,16969.3,19769.7
